(s),(mm),(kgf)
32.7,1.08953,3.42759
32.8,1.09279,3.44267
32.9,1.09588,3.45578
33,1.0994,3.47205
33.1,1.10268,3.48659
33.2,1.1059,3.50084
33.3,1.10929,3.51569
33.4,1.11268,3.5309
33.5,1.11588,3.54565
33.6,1.11924,3.56048
33.7,1.12263,3.57577
33.8,1.12612,3.59142
33.9,1.12933,3.60514
34,1.13266,3.62039
34.1,1.13609,3.63571
34.2,1.13928,3.64939
34.3,1.14266,3.66457
34.4,1.14609,3.6798
34.5,1.14926,3.69372
34.6,1.15246,3.70743
34.7,1.15602,3.72372
34.8,1.15922,3.73703
34.9,1.16255,3.75177
35,1.16606,3.7679
35.1,1.16941,3.78235
35.2,1.17252,3.79582
35.3,1.17602,3.8111
35.4,1.17939,3.82589
35.5,1.18268,3.84018
35.6,1.18601,3.85457
35.7,1.18942,3.86924
35.8,1.1926,3.88281
35.9,1.19582,3.89656
36,1.19926,3.91132
36.1,1.20279,3.92709
36.2,1.20593,3.94026
36.3,1.20922,3.95443
36.4,1.21271,3.9694
36.5,1.21596,3.98335
36.6,1.21931,3.99784
36.7,1.22288,4.01345
36.8,1.22604,4.02672
36.9,1.22922,4.04032
37,1.23272,4.05532
37.1,1.23593,4.06862
37.2,1.23919,4.0827
37.3,1.24264,4.09719
37.4,1.24606,4.11155
37.5,1.24913,4.12472
37.6,1.25262,4.13951
37.7,1.25595,4.15367
37.8,1.25935,4.16759
37.9,1.26264,4.18192
38,1.26612,4.1969
38.1,1.26936,4.21035
38.2,1.27256,4.22301
38.3,1.27599,4.23734
38.4,1.2795,4.25276
38.5,1.2826,4.26492
38.6,1.28583,4.27831
38.7,1.28937,4.29338
38.8,1.29255,4.30618
38.9,1.29586,4.31955
39,1.29943,4.33467
39.1,1.30274,4.34806
39.2,1.30584,4.3605
39.3,1.30946,4.37588
39.4,1.3127,4.38897
39.5,1.31601,4.40248
39.6,1.31939,4.41641
39.7,1.32279,4.43059
39.8,1.32586,4.4424
39.9,1.32925,4.45646
40,1.33258,4.46976
40.1,1.33597,4.48388
40.2,1.33923,4.49712
40.3,1.34268,4.51091
40.4,1.34599,4.52427
40.5,1.34918,4.53685
40.6,1.35264,4.55111
40.7,1.35619,4.56596
40.8,1.35936,4.57857
40.9,1.36259,4.59119
41,1.36616,4.60593
41.1,1.36922,4.61772
41.2,1.3725,4.63092
41.3,1.37598,4.64533
41.4,1.37937,4.65871
41.5,1.38242,4.67045
41.6,1.38607,4.68569
41.7,1.3893,4.69884
41.8,1.39264,4.71209
41.9,1.39599,4.72571
42,1.39948,4.73978
42.1,1.40261,4.75204
42.2,1.40604,4.76599
42.3,1.40938,4.77943
42.4,1.41274,4.79259
42.5,1.41595,4.8055
42.6,1.41927,4.81924
42.7,1.42262,4.83249
42.8,1.42585,4.84519
42.9,1.42926,4.85923
43,1.43275,4.87363
43.1,1.43593,4.88606
43.2,1.43919,4.89945
43.3,1.44281,4.91496
43.4,1.44599,4.92719
43.5,1.44928,4.94034
43.6,1.4528,4.95491
43.7,1.45609,4.96841
43.8,1.45912,4.9798
43.9,1.46266,4.99526
44,1.46595,5.00888
44.1,1.4692,5.02169
44.2,1.47263,5.03614
44.3,1.47604,5.05122
44.4,1.47919,5.06466
44.5,1.48262,5.07975
44.6,1.48602,5.0949
44.7,1.4895,5.11032
44.8,1.4927,5.12414
44.9,1.49597,5.1386
45,1.4994,5.15393
45.1,1.50261,5.16831
45.2,1.50594,5.1829
45.3,1.50939,5.1984
45.4,1.5126,5.21251
45.5,1.51583,5.22665
45.6,1.51943,5.24391
45.7,1.52255,5.25676
45.8,1.52585,5.27126
45.9,1.52946,5.28754
46,1.53278,5.30224
46.1,1.53591,5.31474
46.2,1.5394,5.33073
46.3,1.54271,5.3445
46.4,1.54597,5.35875
46.5,1.54929,5.37203
46.6,1.55271,5.38697
46.7,1.55585,5.39917
46.8,1.55922,5.4131
46.9,1.56262,5.42711
47,1.56607,5.44035
47.1,1.56924,5.45297
47.2,1.57264,5.46628
47.3,1.57603,5.47957
47.4,1.57931,5.49176
47.5,1.58267,5.50488
47.6,1.5862,5.51843
47.7,1.58939,5.53019
47.8,1.59251,5.54101
47.9,1.59602,5.55485
48,1.5992,5.56614
48.1,1.60253,5.57828
48.2,1.60606,5.59202
48.3,1.6094,5.60454
48.4,1.61244,5.61488
48.5,1.61604,5.6287
48.6,1.61935,5.64098
48.7,1.62276,5.65317
48.8,1.62601,5.66446
48.9,1.62948,5.6773
49,1.63264,5.68804
49.1,1.63586,5.6991
49.2,1.6393,5.7118
49.3,1.64272,5.72421
49.4,1.64586,5.735
49.5,1.64922,5.74692
49.6,1.65269,5.75937
49.7,1.65583,5.77007
49.8,1.65921,5.78221
49.9,1.66282,5.79574
50,1.66606,5.80673
50.1,1.66925,5.81693
50.2,1.67277,5.83017
50.3,1.67599,5.8413
50.4,1.67932,5.85313
50.5,1.6827,5.86452
50.6,1.68605,5.87643
50.7,1.6891,5.88601
50.8,1.69265,5.89863
50.9,1.69594,5.91029
51,1.69935,5.922
51.1,1.70261,5.93322
51.2,1.70608,5.94561
51.3,1.70935,5.95728
51.4,1.71263,5.9676
51.5,1.71599,5.97915
51.6,1.7195,5.99168
51.7,1.72267,6.00203
51.8,1.7259,6.01279
51.9,1.72943,6.02537
52,1.73249,6.03487
52.1,1.73583,6.04621
52.2,1.73938,6.0591
52.3,1.74271,6.07033
52.4,1.74579,6.08014
52.5,1.74939,6.09322
52.6,1.75264,6.10418
52.7,1.75597,6.11518
52.8,1.75941,6.12678
52.9,1.76285,6.13865
53,1.76592,6.14806
53.1,1.76934,6.15963
53.2,1.77264,6.17079
53.3,1.77595,6.18139
53.4,1.77921,6.1924
53.5,1.78266,6.20445
53.6,1.78592,6.21491
53.7,1.78924,6.22567
53.8,1.79259,6.2365
53.9,1.79615,6.24932
54,1.79931,6.259
54.1,1.80262,6.26915
54.2,1.80619,6.28204
54.3,1.80932,6.29137
54.4,1.81261,6.30176
54.5,1.81609,6.31343
54.6,1.81935,6.32354
54.7,1.82243,6.33278
54.8,1.82603,6.34519
54.9,1.82928,6.35545
55,1.8326,6.36587
55.1,1.83596,6.37716
55.2,1.83942,6.38869
55.3,1.84252,6.39723
55.4,1.846,6.40904
55.5,1.84941,6.42015
55.6,1.85275,6.43062
55.7,1.85598,6.44016
55.8,1.85932,6.45035
55.9,1.86265,6.46056
56,1.86585,6.47012
56.1,1.86923,6.48091
56.2,1.87272,6.49244
56.3,1.87591,6.50126
56.4,1.87916,6.51053
56.5,1.88273,6.52217
56.6,1.88593,6.53079
56.7,1.88928,6.54142
56.8,1.89289,6.55291
56.9,1.8961,6.56216
57,1.89918,6.57028
57.1,1.90276,6.58165
57.2,1.90602,6.59087
57.3,1.90922,6.60053
57.4,1.91265,6.61086
57.5,1.91602,6.62071
57.6,1.91918,6.62957
57.7,1.92262,6.63993
57.8,1.92596,6.6499
57.9,1.92937,6.66042
58,1.93263,6.6691
58.1,1.93605,6.67968
58.2,1.93941,6.68982
58.3,1.9426,6.69834
58.4,1.94597,6.70814
58.5,1.94943,6.71801
58.6,1.9526,6.7267
58.7,1.95583,6.73584
58.8,1.95933,6.74674
58.9,1.96251,6.75527
59,1.96589,6.7654
59.1,1.96943,6.77634
59.2,1.9727,6.78535
59.3,1.9758,6.79356
59.4,1.97939,6.80484
59.5,1.98277,6.81438
59.6,1.98599,6.82291
59.7,1.98935,6.8327
59.8,1.99277,6.84266
59.9,1.99592,6.8505
60,1.99917,6.85936
60.1,2.00259,6.86907
60.2,2.00607,6.87944
60.3,2.00926,6.88765
60.4,2.01262,6.8971
60.5,2.01601,6.90676
60.6,2.01924,6.91537
60.7,2.02263,6.92496
60.8,2.02626,6.93585
60.9,2.02938,6.94359
61,2.03256,6.95136
61.1,2.03609,6.96141
61.2,2.03927,6.96944
61.3,2.04255,6.97806
61.4,2.04599,6.98809
61.5,2.04935,6.99726
61.6,2.05244,7.00497
61.7,2.056,7.01556
61.8,2.05929,7.02457
61.9,2.06264,7.03308
62,2.06599,7.04242
62.1,2.0695,7.05213
62.2,2.07268,7.05968
62.3,2.07589,7.06785
62.4,2.07932,7.07737
